text	label
We met each other on the neon dinghy Past the manta rays and palm trees Glowing creatures beamed down from great heights Electric eels and red venom In the sky, we could see the riders on the horseback On comets, coming toward us, kicking up with laughter My friend Big Twitchy rode the boat into the light Surfed to the north break We danced until there was nothing left Just me and Twitchy 'Cause that's all we knew Ah, ah, ah, ah Ah, ah, ah, ah Ah-ah, ah-ah Ah, ah, ah, ah Ah, ah, ah, ah Ah-ah, ah-ah-ah You're questioning the science, 'cause you don't understand How I'm doing what I'm doing in a fucking handstand You found it so impressive that I do it again My other one is busy, so I use my left hand We took it kinda fast but you put it in slow I see your mother's calling and you're hitting ignore It's like you saw a unicorn, you don't understand How I'm doin' what I'm doin' in a fucking handstand I wish I could crawl inside your heart Take you captive and then sail away I wish I could know that it's forever Take me captive and then sail away You're questioning the science, 'cause you don't understand How I'm doing what I'm doing in a fucking handstand You found it so impressive that I do it again My other one is busy, so I use my left hand We took it kinda fast but you put it in slow I see your mother's calling and you're hitting ignore It's like you saw a unicorn, you don't understand How I'm doin' what I'm doin' in a fucking handstand	0
I don't know Who the hell you think you're messin' with Get the fuck out of my house with that shit Get the fuck out of my life with that shit And I don't know Who the hell you think you're messin' with Get the fuck out of my house with that shit Get the fuck out of my life with that shit And you smell like perfume that I didn't purchase Now I know why you've been closing the curtains (Uh-uh) Get the fuck out of my house You comin' 'round With your muddy feet I'ma 'bout to do something 'bout it Yeah, I'ma have to do something 'bout it You keep comin' 'round With your muddy feet And I'ma have to do something 'bout it Yeah, I'ma 'bout to do something 'bout it Back and forth Always questioning my questioning Get the fuck out of my hеad with that shit Get the fuck out of my bed with that shit You'vе watered the weeds and you killed all the roses Worthy arrives when the other door closes (Uh-uh) So get the fuck out of my house with that shit You comin' 'round (Comin' 'round, baby) With your muddy feet I'ma 'bout to do something 'bout it (What I do) Yeah, I'ma have to do something 'bout it (What I do) And I don't know Who you're messin' with Yeah, I'ma have to do some 'bout it (What I do) Yeah, I'ma about to do some 'bout it (What I do) Woah, oh, oh, oh, mm Woah, oh, oh, oh, mm Woah, oh, oh, oh, mm (You're comin' 'round) Woah, oh, oh, oh, mm (You're comin' 'round, baby) (What I do, what I do) Get the fuck out of my house with that shit	0
Do you wanna play house? I could be your wife Go and meet your mom in a dress too tight Maybe I could stay and not break your heart But don't forget, baby, I'm a wildcard I love when you hold me But loving you is never enough And don't wait for me 'Cause forever may never come I'm a wildcard, oh-ooh Loving you is never enough I'm a wildcard, oh-ooh Forever may never come I walk in the door, with my lips stained red Pillows on the floor and the flowers dead Make the music stop before it starts 'Cause don't forget, baby, I'm a wildcard I love when you hold me But loving you is never enough I'm a wildcard, oh-ooh Loving you is never enough I'm a wildcard, oh-ooh Forever may never come And ooh, bet your lovin' I want all in, I want all or nothin' Ooh, it'll cost ya I want all in, I want all or nothin' I love when you hold me But loving you is never enough I'm a wildcard, oh-ooh Loving you is never enough I'm a wildcard, oh-ooh Forever may never come	0
She's a wonder woman She knows what she likes Never know she's broken 'Cause she's always fine She's a million moments Lived a thousand lives Never know she's hopeless Only when she cries When her favorite record's on and she's dancin' in the dark She can't stop her eyes from wellin' up, up She makes sure that no one's 'round to see her fall apart She wants to be thе one that never doеs She's a won't-stop woman Hours on her hands All the pain is polished All the tears are planned But when her favorite record's on and she's dancin' in the dark She can't stop her eyes from wellin' up, up She makes sure that no one's 'round to see her fall apart She wants to be the one that never does She's a wonder woman She knows what she likes Never know she's broken Only when she cries (Mm, mm)	0
We were good, we were gold Kinda dream that can't be sold We were right 'til we weren't Built a home and watched it burn Mm, I don't wanna leave you, I didn't wanna lie Started to cry, but then remembered I I can buy myself flowers Write my name in the sand Talk to myself for hours Say things you don't understand I can take myself dancing And I can hold my own hand Yeah, I can love me better than you can Paint my nails cherry-red Match the roses that you left No remorse, no regret I forgive every word you said Ooh, I didn't wanna leave you, baby, I didn't wanna fight Started to cry, but then remembered I I can buy myself flowers Write my name in the sand Talk to myself for hours, yeah Say things you don't understand I can take myself dancing, yeah, yeah I can hold my own hand Yeah, I can love me better than you can Can love me better, I can love me better, baby Can love me better, I can love me better, baby Can love me better, I can love me better Can love me better, I I didn't wanna leave you, I didn't wanna fight Started to cry, but then remembered I I can buy myself flowers (Uh-huh) Write my name in the sand (Mm-mm-mm-mm) Talk to myself for hours, yeah Say things you don't understand (You never will) I can take myself dancing And I can hold my own hand Yeah, I can love me better than you can Love me better, I can love me better, baby Can love me better, I can love me better, baby Can love me better, I can love me better, baby Can love me better, I can love me better, baby	0
Oh-oh, oh-oh Hey Oh, oh, mm Baby, baby, yeah Are you listenin'? Wonderin' where you've been All my life I just started livin' Ooh, oh, baby Are you listenin'? Oh-oh When you say you love me Know I love you more And when you say you need me Know I need you more Boy, I adore you I adore you Baby, can you hear me When I'm cryin' out for you? I'm scared, oh, so scared But when you're near me, uh I feel like I'm standin' with an army Of men armed with weapons Hey, oh When you say you love me Know I love you more And when you say you need me Know I need you more Boy, I adore you I adore you I love lyin' next to you I could do this for eternity You and me We're meant to be in holy matrimony God knew exactly what He was doin' When He led me to you When you say you love me Know I love you more (I love you more) And when you say you need me Know I need you more Boy, I adore you I adore you When you say you love me Know I love you more And when you say you need me Know I need you more Boy, I adore you I adore you	0
It's our party, we can do what we want (Ear Drummers, ooh) It's our party, we can say what we want (Mike WILL Made-It, ooh) It's our party, we can love who we want (Ooh) We can kiss who we want, we can screw who we want (Ayy) It's our party, we can do what we want (Ooh) It's our party, we can say what we want (Ooh) It's our party, we can love who we want (Ooh) We can kiss who we want, we can screw who we want (Right about now, ayy) Red cups and sweaty bodies everywhere Hands in the air like we don't care 'Cause we came to have so much fun now Bet somebody here might get some now (Hey, hey, hey, hey) If you're not ready to go home Can I get a "hell no"? (Hell no, hell no) 'Cause we gonna go all night 'Til we see the sunlight, alright (Hey, hey, hey, hey) So la-da-di-da-di, we like to party Dancin' with Molly Doin' whatever we want This is our house, this is our rules And we can't stop (Woah) And we won't stop (Woah) Can't you see it's we who own the night? Can't you see it's we who 'bout that life? And we can't stop (Woah) And we won't stop (Woah) We run things, things don't run we Don't take nothin' from nobody, yeah, yeah It's our party, we can do what we want (Ooh) It's our party, we can say what we want (Ooh) It's our party, we can love who we want (Ooh) We can kiss who we want, we can screw who we want (Ayy) To my homegirls here with the big butt Shakin' it like we at a strip club Remember only God can judge ya Forget the haters 'cause somebody loves ya And everyone in line in the bathroom Tryna get a line in the bathroom We all so turned up here Gettin' turned up, yeah, yeah, yeah, yeah So la-da-di-da-di, we like to party Dancin' with Molly Doin' whatever we want This is our house, this is our rules And we can't stop (Woah) And we won't stop (Woah) Can't you see it's we who own the night? Can't you see it's we who 'bout that life? And we can't stop (Woah) And we won't stop (Woah) We run things, things don't run we Don't take nothin' from nobody, yeah, yeah It's our party, we can do what we want (Ooh) It's our party, we can say what we want (Ooh) It's our party, we can love who we want (Ooh) We can kiss who we want, we can screw who we want (Ayy) It's our party, we can do what we want to It's our house, we can love who we want to It's our song, we can sing if we want to It's my mouth, I can say what I want to Say yeah, yeah Yeah, yeah And we can't stop (Yeah) And we won't stop (Woah) Can't you see it's we who own the night? Can't you see it's we who 'bout that life? And we can't stop (Woah) And we won't stop (Woah) We run things, things don't run we We don't take nothin' from nobody, yeah, yeah Yeah (Ooh) Yeah (Ooh) Yeah (Ooh) We can do what we want, do what we want to (Ayy)	0
Bangerz (Bangerz) (Mike WiLL Made-It) Fuckin' bangerz (Bangerz) (Ear Drummers) Bangerz (Bangerz) Fuck-fuck-fuckin' bangerz (Bangerz) All the way in the back with a tree on my lap All the boys like to ask me, "What you doing with that?" Yeah, yeah You say you love me, I ain't fooling with that They ask me how I keep a man, I keep a battery pack One day he wants me One day he wants me not I don't do chances, 'cause time just ain't what I got If he's like that, I got a world tour that they need me at I can't be sittin' 'round here waitin' on a man To tell me where the fuck my seat be at Where Mike WiLL at? We be struttin' that stuff, that stuff, that stuff (Bangerz) We be struttin' that stuff, that stuff, that stuff (I be struttin' my stuff) We be struttin' that stuff, that stuff, that stuff (Bangerz) We be struttin' that stuff, that stuff, that stuff (Fuckin' bangerz) We be struttin' that stuff, that stuff, that stuff (Bangerz) We be struttin' that stuff, that stuff, that stuff (I be struttin' my stuff) We be struttin' that stuff, that stuff, that stuff (Bangerz) We be struttin' that stuff, that stuff, that stuff (Fuckin' bangerz) I'm flying high up on the bird; acrophobiac I slick, caught her eyeing down my purse Where the dollars at? I let her know the rent's due on the first They can call the hearse 'Cause, if there's any violation, I go off with that Catwalk, slick talk, flirting with a big dog (Why I need his millis when I got Billy on the speed dial?) You know I'm on that "meow", quick to scratch your eyes out Strutting on the court, make them nervous, call a timeout We be struttin' that stuff, that stuff, that stuff (Bangerz) We be struttin' that stuff, that stuff, that stuff (I be struttin' my stuff) We be struttin' that stuff, that stuff, that stuff (Bangerz) We be struttin' that stuff, that stuff, that stuff (Fuckin' bangerz) We be struttin' that stuff, that stuff, that stuff (Bangerz) We be struttin' that stuff, that stuff, that stuff (I be struttin' my stuff) We be struttin' that stuff, that stuff, that stuff (Bangerz) We be struttin' that stuff, that stuff, that stuff (Fuckin' bangerz) The plane, boss, the plane ‘Bout to get that big rock Slip that on my hand Make that media big talk The plane, boss, the plane Psych, that must be the purple Got up in my brain Had me a little bit dismal I, I, I (Bangerz) I, I, I (Fucking bangerz) I, I, I (Bangerz) I, I, I (Fucking bangerz) I, I, I I, I, I I, I, I I, I, I	0
(Ear Drummers) Why don't you stand (Mike WiLL Made-It), stand by me ? Oh, my darlin' Stand by me I walked through a puddle of water When I seen the shadow of a broken-hearted girl Pictured us walking to the altar For better or for worse Why don't you stand, stand by me? Oh, my darlin', stand by me 'Cause we gon' make a movie, a movie And it's gon' be in D, in D And we gon' make a movie, a movie And it's gon' be in D, in D Why don't you stand, stand by me? Oh, my darlin', stand by me I ain't pop no Molly But you still got me sweating What happened to that feeling? We'll never get it back I ain't take no shots, but you still got me hot What happened to the feeling? I wish it wouldn't stop We were supposed to be together We were supposed to be together, yeah (Yeah, yeah, yeah, yeah) They say that love can hit you so fast Plenty odds are running out of time But ours is on the boardwalk, baby Take me as I am or not I can't breathe without you, without you as mine, oh Why don't you stand, stand by me? Oh, my darlin', stand by me 'Cause we gon' make a movie, a movie And it's gon' be in D, in D And we gon' make a movie, a movie And it's gon' be in D, in D, yeah Stand by me (Yeah) My darlin', stand by me Yeah-yeah D, yeah Movie, it's gon' be in D, D, yeah Why don't you stand, stand by me? Oh, my darlin', stand by me 'Cause we gon' make a movie, a movie And it's gon' be in D, in D And we gon' make a movie, a movie And it's gon' be in D, in D, yeah Why don't you stand (Stand), stand by me? Oh, my darlin', stand by me	0
EarDrummers Mike WiLL Made-It Money ain't nothing but money When you get to the money, it ain't nothing but money Love ain't nothing but love When you learn how to love, it ain't nothing but love Party ain't nothing but a party When you party every day, it ain't nothing but a party Love, money, party Love, money, party L-l-love, money, party Love, money, party W-we want love, money, party If I can't trust Then why am I giving my heart in exchange for him to love me? 'Cause there ain't much Difference than a one night stand and one that ain't for me Is it too much? 'Cause you hate that you love everything that he do and you can't deny you wanna So what? My heart'll light a fire in this bitch and blow it Money ain't nothing Money can't buy you love I don't give a damn if you sitting on a trill Money ain't nothing After that run out What about the real and the way you feel? Money get low and the DJ stop And the music slow down and that shit get blurry Love, money, party, yeah Money ain't nothing but money When you get to the money, it ain't nothing but money (Yeah) Love ain't nothing but love When you learn how to love, it ain't nothing but love (Yeah) Party ain't nothing but a party When you party every day, it ain't nothing but a party (Yeah) Love, money, party Love, money, party L-l-love, money, party Love, money, party W-we want love, money, party I've been through heartbreaks Probably too much for anybody with a human heart can take You know it's something not too good to elaborate But I been left in the lobby I done been through the fire, I done been the girl on the side I done laid it all on the line And now they growing up And I bet you regret it 'cause her juice don't taste like mine Money ain't nothing Money can't buy you love I don't give a damn if you sitting on a trill Money ain't nothing After that run out What about the real and the way you feel? Money get low and the DJ stop And the music slow down and that shit get blurry Love, money, party, yeah Money ain't nothing but money When you get to the money, it ain't nothing but money (Yeah) Love ain't nothing but love When you learn how to love, it ain't nothing but love (Yeah) Party ain't nothing but a party When you party every day, it ain't nothing but a party (Yeah) Love, money, party Love, money, party L-l-love, money, party (God, oh) Love, money, party (Yup) W-we want love, money, party Okay I walk in, sorta late (Woah) My girl and watch both coordinate (Woah) They both got that gorgeous face They both shine, they both mine Getting green, 'cause it's go time (Woah) Goddamn, I'm so fine (Woah) You know those like, uhm, super model type girls? Uh, yeah, I'm chilling with those kind B.I.G. Sean Don Juan Perignon (Oh) Detroit player boy, I get my Barry on On an all-night flight to the island, I be gone (Wait) In the morning, I don't even need a carry on, what This that all night get dressed up boi Red cup get messed up boi Me and , it's just us, bitch Money ain't nothing but money When you get to the money, it ain't nothing but money (Yeah) Love ain't nothing but love When you learn how to love, it ain't nothing but love (Yeah) Party ain't nothing but a party When you party every day, it ain't nothing but a party (Yeah) Love, money, party Love, money, party L-l-love, money, party Love, money, party W-we want love, money, party	0
